Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FGP,3P,3PA,3PP,2P,2PA,2PP,eFGP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020,Rudy Gobert,C,27,UTA,52,52,34.6,6.0,8.7,.689,0.0,0.0,,6.0,8.7,.689,.689,3.7,6.0,.613,3.7,10.9,14.6,1.5,0.7,1.9,2.0,3.1,15.6
2020,Brandon Goodwin,PG,24,ATL,26,1,13.7,2.4,6.1,.396,0.9,2.8,.315,1.5,3.3,.465,.469,0.9,0.9,1.000,0.4,2.0,2.4,1.5,0.4,0.2,1.0,1.4,6.7
2020,Aaron Gordon,PF,24,ORL,49,49,32.2,5.3,12.6,.424,1.2,4.0,.308,4.1,8.6,.479,.473,2.3,3.4,.675,1.7,5.6,7.3,3.1,0.8,0.5,1.6,2.0,14.2
2020,Eric Gordon,SG,31,HOU,28,12,29.4,5.0,13.4,.374,2.9,8.8,.332,2.1,4.5,.457,.484,2.3,3.2,.730,0.3,1.8,2.0,1.5,0.6,0.4,1.0,2.0,15.3
2020,Devonte' Graham,PG,24,CHO,54,44,35.2,5.8,15.3,.379,3.5,9.4,.374,2.3,5.9,.388,.495,3.0,3.7,.811,0.8,2.9,3.6,7.8,0.9,0.3,2.9,1.9,18.1
2020,Treveon Graham,SG,26,TOT,45,20,17.4,1.6,4.5,.347,0.6,2.2,.250,1.0,2.3,.441,.408,0.7,1.0,.733,0.8,1.9,2.7,0.7,0.4,0.1,0.5,1.8,4.4
2020,Treveon Graham,SG,26,MIN,33,20,20.1,1.9,5.3,.354,0.6,2.5,.241,1.3,2.8,.457,.411,0.8,1.1,.730,0.9,2.2,3.0,0.9,0.5,0.1,0.6,2.0,5.2
2020,Treveon Graham,SG,26,ATL,12,0,10.1,0.7,2.3,.296,0.4,1.4,.294,0.3,0.8,.300,.389,0.5,0.7,.750,0.4,1.3,1.8,0.1,0.3,0.3,0.3,1.3,2.3
2020,Jerami Grant,PF,25,DEN,54,21,26.4,4.0,8.6,.468,1.4,3.4,.397,2.7,5.2,.514,.546,1.9,2.6,.730,0.9,2.8,3.7,1.1,0.6,0.9,0.8,2.1,11.3
2020,Josh Gray,PG,26,NOP,2,0,11.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.5,0.5,1.0,1.0,0.0,0.0,2.5,0.5,1.0
2020,Danny Green,SG,32,LAL,52,52,25.0,3.1,7.3,.422,1.9,5.0,.378,1.2,2.2,.522,.553,0.6,0.8,.727,0.7,2.7,3.5,1.3,1.2,0.5,0.9,2.2,8.6
2020,Draymond Green,PF,29,GSW,41,41,29.1,2.9,7.5,.388,0.9,3.0,.288,2.0,4.5,.457,.447,1.5,2.0,.759,0.6,5.8,6.4,6.2,1.4,0.8,2.3,2.6,8.3
2020,JaMychal Green,PF,29,LAC,46,0,20.7,2.2,5.6,.398,1.3,3.7,.355,0.9,1.8,.488,.518,0.6,0.9,.725,1.4,5.0,6.4,0.7,0.5,0.4,0.9,2.6,6.4
2020,Javonte Green,SF,26,BOS,41,1,9.1,1.2,2.3,.511,0.1,0.6,.261,1.0,1.7,.592,.543,0.6,0.9,.639,0.4,1.3,1.7,0.5,0.5,0.1,0.4,0.9,3.0
2020,Jeff Green,PF,33,UTA,30,2,18.4,2.5,6.5,.385,1.1,3.5,.327,1.4,3.0,.451,.472,1.6,2.1,.778,0.5,2.2,2.7,0.7,0.4,0.3,0.9,1.5,7.8
2020,Blake Griffin,PF,30,DET,18,18,28.4,4.9,13.9,.352,1.5,6.2,.243,3.4,7.7,.439,.406,4.2,5.4,.776,0.9,3.7,4.7,3.3,0.4,0.4,2.2,1.5,15.5
2020,Marko Guduric,SG,24,MEM,33,0,13.2,1.6,4.2,.384,0.6,2.2,.296,1.0,2.0,.478,.460,0.6,0.7,.913,0.4,1.5,1.9,1.2,0.3,0.2,1.0,0.9,4.5
2020,Kyle Guy,SG,22,SAC,2,0,2.0,0.5,1.0,.500,0.0,0.5,.000,0.5,0.5,1.000,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020,Rui Hachimura,PF,21,WAS,30,30,28.8,5.8,11.8,.487,0.4,1.8,.236,5.3,10.0,.533,.506,1.9,2.3,.826,1.5,4.4,6.0,1.5,0.7,0.2,0.9,2.2,13.9
2020,Devon Hall,SG,24,OKC,5,0,4.0,0.2,1.0,.200,0.0,0.4,.000,0.2,0.6,.333,.200,0.6,0.8,.750,0.0,0.2,0.2,0.6,0.0,0.0,0.2,0.2,1.0
2020,Tim Hardaway,SG,27,DAL,52,39,27.4,5.1,11.9,.433,2.8,6.8,.403,2.4,5.0,.473,.549,1.7,2.1,.811,0.4,2.6,3.0,2.0,0.6,0.1,0.9,1.7,14.8
2020,James Harden,SG,30,HOU,51,51,37.1,10.1,23.2,.437,4.6,12.8,.358,5.5,10.4,.535,.536,10.4,12.0,.869,1.1,5.5,6.5,7.3,1.6,1.0,4.5,3.4,35.3
2020,Maurice Harkless,SF,26,TOT,51,38,22.9,2.2,4.4,.509,0.5,1.5,.355,1.7,2.9,.588,.569,0.5,0.8,.571,0.9,3.1,4.0,1.0,1.0,0.6,0.9,2.4,5.5
2020,Maurice Harkless,SF,26,LAC,50,38,22.8,2.2,4.3,.516,0.5,1.5,.370,1.7,2.9,.590,.578,0.5,0.8,.571,0.9,3.1,4.0,1.0,1.0,0.6,0.9,2.4,5.5
2020,Maurice Harkless,SF,26,NYK,1,0,25.0,2.0,7.0,.286,0.0,3.0,.000,2.0,4.0,.500,.286,0.0,0.0,,1.0,4.0,5.0,2.0,1.0,0.0,0.0,2.0,4.0
2020,Jared Harper,PG,22,PHO,3,0,2.7,0.3,1.3,.250,0.0,0.7,.000,0.3,0.7,.500,.250,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2020,Montrezl Harrell,C,26,LAC,54,2,28.4,7.7,13.4,.576,0.0,0.3,.000,7.7,13.1,.589,.576,3.4,5.4,.634,2.7,4.4,7.1,1.8,0.6,1.1,1.8,2.4,18.8
2020,Gary Harris,SG,25,DEN,46,45,32.1,3.8,9.6,.400,1.2,4.0,.299,2.6,5.6,.473,.463,1.4,1.7,.829,0.5,2.4,2.9,2.2,1.3,0.2,1.0,2.1,10.2
2020,Joe Harris,SF,28,BRK,52,52,31.4,5.2,11.1,.468,2.4,5.9,.408,2.8,5.2,.537,.577,1.0,1.3,.743,0.9,3.4,4.3,2.1,0.7,0.3,1.4,2.3,13.8
2020,Tobias Harris,PF,27,PHI,55,55,34.3,7.4,15.7,.472,1.8,4.9,.363,5.7,10.8,.522,.529,2.4,2.9,.802,0.7,6.1,6.7,3.0,0.7,0.6,1.5,2.2,19.0
2020,Shaquille Harrison,SF,26,CHI,33,4,7.7,1.2,2.8,.441,0.2,0.6,.333,1.0,2.2,.472,.478,0.7,0.9,.742,0.2,1.1,1.4,0.9,0.5,0.2,0.4,0.8,3.4
2020,Josh Hart,SF,24,NOP,48,14,28.1,3.6,8.6,.423,2.1,5.8,.354,1.6,2.8,.567,.542,1.3,1.6,.772,1.0,5.4,6.4,1.6,1.1,0.4,1.1,2.6,10.6
2020,Isaiah Hartenstein,C,21,HOU,23,2,11.6,1.9,2.9,.657,0.0,0.2,.000,1.9,2.7,.710,.657,0.8,1.2,.679,1.3,2.7,3.9,0.8,0.4,0.5,0.7,1.8,4.7
