name,nick
"Danny Schayes","Dolph"
"Domantas Sabonis","Domas"
"Korleone Young","Don"
"Evan Fournier","Don't Google"
"Alvan Adams","Double A,The Oklahoma Kid"
"Dale Davis","Double D"
"Dwight Davis","Double D"
"Gerald Wilkins","Doug E. Fresh,Jordan Stopper"
"Doug McDermott","Dougie McBuckets"
"Fred Brown","Downtown"
"Chris Dudley","Dr. Crash"
"Darrell Griffith","Dr. Dunkenstein"
"Julius Erving","Dr. J,The Doctor"
"Draymond Green","Dray"
"Spencer Haywood","Driftwood"
"Kevin Duckworth","Duck"
"Dave Bing","Duke"
"Paul Hogue","Duke"
"James Donaldson","Dukes"
"Kevin Durant","Durantula,KD,Slim Reaper,The Servant"
"Elton Brand","E.B."
"Eddie Jones","E.J."
"Evan Turner","E.T."
"Eddie Lee Wilkins","Easy"
"Eric Moreland","Eazy-E"
"Corny Thompson","El Abuelo"
"Sergio Rodriguez","El Chacho,Spanish Chocolate"
"Manu Ginobili","El Contusione,Manudona"
"Vincenzo Esposito","El Diablo"
"Francisco Garcia","El Flaco"
"Elmore Morgenthaler","Elmo"
"Antoine Walker","Employee Number Eight,Toine"
"James Ennis","Ennis the Menace"
"Pau Gasol","ET"
"Eddie Johnson","Fast Eddie"
"Eddie Jordan","Fast Eddie,Monty"
"James White","Flight"
"Robert Hite","Flight"
"Ronald Murray","Flip"
"Frank Kaminsky","Frank the Tank"
"Jarrett Allen","Fro"
"Luke Ridnour","Frodo"
"Andrew Levane","Fuzzy"
"Glen Rice","G Money"
"Cedric Ceballos","Garbage Man"
"Jorge Garbajosa","Garbo"
"Mike McGee","Geeter"
"Howard Porter","Geezer"
"Francisco Elson","Geico"
"Lonnie Kluttz","Gene"
"Ben Poquette","Gentle Ben"
"George Gervin","GG,Iceman"
"Gheorghe Muresan","Ghita,My Giant"
"Joel Przybilla","Ghostface,Vanilla Gorilla"
"Gigi Datome","Gigi"
"Kristaps Porziņģis","Godzingis,Porzingod,Unicorn,Zinger"
"Bob Rule","Golden"
"Jack Givens","Goose"
"Gary Payton","GP,The Glove"
"Larry Johnson","Grandmama,LJ"
"O.J. Mayo","Grocery List"
"Tim Duncan","Groundhog Day,The Big Fundamental"
"Justin Hamilton","Ham"
"Art Williams","Hambone"
"Tom Hammonds","Hambone"
"Andrew DeClercq","Hammer"
"Andy Johnson","Handy Andy"
"Andy Phillip","Handy Andy"
"Derek Harper","Harp"
"Ron Harper","Harp"
"Charlie Black","Hawk"
"Connie Hawkins","Hawk"
"Hersey Hawkins","Hawk"
"Vernon Maxwell","Hawk,Mad Max"
"Derrick McKey","Heavy D"
"Bill Laimbeer","His Heinous,The Prince of Darkness"
"Don MacLean","Hollywood"
"James Robinson","Hollywood"
"John Havlicek","Hondo"
"Gus Johnson","Honeycomb"
"Carmelo Anthony","Hoodie Melo,Melo"
"Jeff Hornacek","Horny"
"Dan Issel","Horse"
"John Williams","Hot Plate"
"Rod Strickland","Hot Rod"
"Bob Houbregs","Houby"
"Jerry Baskerville","Hound"
"Patrick Ewing","Hoya Destroya"
"Malcolm Brogdon","Humble Moses,The President"
"Kris Humphries","Hump"
"Mel Hutchins","Hutch"
"Jerry Reynolds","Ice"
"Isaac Austin","Ike"
"Danilo Gallinari","Il Gallo"
"A.C. Green","Iron Man"
"Wesley Matthews","Iron Man"
"Allonzo Trier","IsoZo"
"Jason Kidd","J-Kidd,Mr. Triple Double"
"Jason Richardson","J-Rich"
"Josh Smith","J-Smoove"
"Jason Williams","J-Will,White Chocolate"
"Jermaine O'Neal","J.O."
"Isaiah Rider","J.R."
"J.R. Smith","J.R. Swish"
"Jason Terry","J.T.,The Jet"
"Jerome Williams","J.Y.D.,Junkyard Dog"
"James Bailey","Jammin' James"
"Cazzie Russell","Jazzy"
"Jamal Crawford","JC"
"Josh Childress","JChill"
"Cedi Osman","Jedi"
"Ray Allen","Jesus Shuttlesworth,Ray-Ray,Sugar Ray"
"Jimmy Butler","Jimmy G. Buckets"
"Joe Ingles","Jingles,Jinglin' Joe,Slow Mo Joe"
"Joakim Noah","Jo"
"Joe Barry Carroll","Joe Barely Cares,Just Barely Carroll"
"Joe Young","Joey Buckets"
"John Paxson","Johnny Pax,Pax"
"Joel Embiid","JoJo,The Process"
"Josh Harrellson","Jorts"
"Josh Richardson","JRich"
"Juan Hernangomez","Juancho"
"Dajuan Wagner","Juanny"
"Greg Smith","Juju"
"Joe Caldwell","Jumpin' Joe,Pogo"
"Jackie Moore","Jumping Jack"
"Kenyon Martin","K-Mart"
"Kevin Martin","K-Mart"
"Kevin Johnson","K.J."
"Michael Olowokandi","Kandi Man"
"Karl-Anthony Towns","KAT"
"Kentavious Caldwell-Pope","KCP"
"Markieff Morris","Keef"
"Kevin Garnett","KG,The Big Ticket,The Kid"
"Isaiah Thomas","King in the Fourth"
"Nate Robinson","KryptoNate"
"Kyle Kuzma","Kuz"
"Lionel Simmons","L-Train"
"Juan Carlos Navarro","La Bomba"
"Larry Bird","Larry Legend,The Great White Hope,The Hick from French Lick"
"Davis Bertans","Latvian Laser"
"Tim Legler","Legs"
"Marcus Thornton","Lil' Buckets"
"Jeremy Lin","Linsanity"
"Damon Stoudamire","Little Flying Mouse,Mighty Mouse"
"Andre Turner","Little General"
"Larry Nance","Little Hawk"
"Joe Hamilton","Little Joe"
"Louie Dampier","Little Louie"
"Hakeem Olajuwon","Little Moses,The Dream"
"LaMarcus Aldridge","LMA"
"Gene Conley","Long Gene"
"Jim Loscutoff","Loscy"
"Tyronn Lue","Lue Hefner"
"Maurice Lucas","Luke,The Enforcer"
"Dave Corzine","Lumber,The Lumberjack"
"Taj Gibson","Lunch Pail"
"TJ McConnell","McClutchell"
"Pat Riley","MacGyver,Riles"
"Fred Carter","Mad Dog"
"Mark Madsen","Mad Dog"
"Magic Johnson","Magic"
"Larry Steele","Man of Steal"
"Kenneth Faried","Manimal"
"Andrew Wiggins","Maple Jordan,Wiggs"
"Anthony Mason","Mase"
"Josh McRoberts","McBob"
"Jeff Ruland","McFilthy"
"Rick Mahorn","McNasty"
"Michael Carter-Williams","MCW"
"Rumeal Robinson","Meal Time"
"Jamaal Tinsley","Mel Mel the Abuser"
"Mehmet Okur","Memo"
"Vinnie Johnson","Microwave"
"Andrew Goudelock","Mini Mamba"
"Eric Bledsoe","Mini-Lebron"
"Michael Kidd-Gilchrist","MKG"
"Maurice Cheeks","Mo"
"Morris Peterson","Mo Pete"
"Marreese Speights","Mo' Buckets"
"Maurice Harkless","Moe"
"Roger Mason","MoneyMase"
"Jamal Mashburn","Monster Mash"
"Marcus Morris","Mook"
"Greg Monroe","Moose"
"Mike Muscala","Moose"
"Elgin Baylor","Motormouth,Mr. Inside"
"Drazen Petrovic","Mozart of the Hoops,Petro"
"Timofey Mozgov","Mozzy"
"Patrick Beverley","Mr. 94 Feet"
"Tom Gola","Mr. All-Around"
"Chauncey Billups","Mr. Big Shot"
"Jose Calderon","Mr. Catering"
"Austin Carr","Mr. Cavalier"
"Kenny Anderson","Mr. Chibbs"
"Jerry West","Mr. Clutch,The Logo"
"Davon Reed","Mr. Dependable"
"Carl Nicks","Mr. Intensity"
"Tyler Dorsey","Mr. March"
"John Salley","Mr. May"
"Larry Micheaux","Mr. Mean"
"Larry Smith","Mr. Mean"
"Campy Russell","Mr. Moves"
"Grant Hill","Mr. Nice"
"Bill Bradley","Mr. President,The Secretary of State"
"Nate McMillan","Mr. Sonic"
"Muggsy Bogues","Muggsy"
"Chinanu Onuaku","Nanu"
"Steve Nash","Nashty"
"Don Nelson","Nellie"
"Bob Netolicky","Neto"
"Pervis Ellison","Never Nervous Pervis"
"Larry Brown","Next Town Brown"
"Nicolas Batum","Nic"
"Nick Van Exel","Nick at Nite,Nick the Quick"
"Sean Elliott","Ninja"
