Yr,Lg,Conference,Series,Date,,Winner,Wins,,Loser,Losses,,Favorite,Underdog
2013,NBA,West,Conference First Round,Apr 2 May 2 2013,,Golden State Warriors (6),4,,Denver Nuggets (3),2,,DEN460),GSW (+355)
2013,NBA,West,Conference First Round,Apr 2 May 3 2013,,Memphis Grizzlies (5),4,,Los Angeles Clippers (4),2,,LAC180),MEM (+160)
2013,NBA,East,Conference Semifinals,May  May 15 2013,,Miami Heat (1),4,,Chicago Bulls (5),1,,MIA3000),CHI (+1100)
2013,NBA,East,Conference Semifinals,May  May 18 2013,,Indiana Pacers (3),4,,New York Knicks (2),2,,NYK190),IND (+165)
2013,NBA,West,Conference Semifinals,May  May 15 2013,,Memphis Grizzlies (5),4,,Oklahoma City Thunder (1),1,,MEM127),OKC (+107)
2013,NBA,West,Conference Semifinals,May  May 16 2013,,San Antonio Spurs (2),4,,Golden State Warriors (6),2,,SAS950),GSW (+625)
2013,NBA,East,Conference Finals,May 2 Jun 3 2013,,Miami Heat (1),4,,Indiana Pacers (3),3,,MIA850),IND (+575)
2013,NBA,West,Conference Finals,May 1 May 27 2013,,San Antonio Spurs (2),4,,Memphis Grizzlies (5),0,,SAS145),MEM (+125)
2013,NBA,,NBA Finals,Jun  Jun 20 2013,,Miami Heat (1),4,,San Antonio Spurs (2),3,,MIA220),SAS (+180)
2012,NBA,East,Conference First Round,Apr 2 May 10 2012,,Philadelphia 76ers (8),4,,Chicago Bulls (1),2,,CHI1400),PHI (+900)
2012,NBA,East,Conference First Round,Apr 2 May 9 2012,,Miami Heat (2),4,,New York Knicks (7),1,,MIA900),NYK (+650)
2012,NBA,East,Conference First Round,Apr 2 May 8 2012,,Indiana Pacers (3),4,,Orlando Magic (6),1,,IND800),ORL (+600)
2012,NBA,East,Conference First Round,Apr 2 May 10 2012,,Boston Celtics (4),4,,Atlanta Hawks (5),2,,BOS190),ATL (+160)
2012,NBA,West,Conference First Round,Apr 2 May 7 2012,,San Antonio Spurs (1),4,,Utah Jazz (8),0,,SAS2500),UTA (+1450)
2012,NBA,West,Conference First Round,Apr 2 May 5 2012,,Oklahoma City Thunder (2),4,,Dallas Mavericks (7),0,,OKC500),DAL (+400)
2012,NBA,West,Conference First Round,Apr 2 May 12 2012,,Los Angeles Lakers (3),4,,Denver Nuggets (6),3,,LAL240),DEN (+195)
2012,NBA,West,Conference First Round,Apr 2 May 13 2012,,Los Angeles Clippers (5),4,,Memphis Grizzlies (4),3,,MEM200),LAC (+170)
2012,NBA,East,Conference Semifinals,May 1 May 24 2012,,Miami Heat (2),4,,Indiana Pacers (3),2,,MIA950),IND (+625)
2012,NBA,East,Conference Semifinals,May 1 May 26 2012,,Boston Celtics (4),4,,Philadelphia 76ers (8),3,,BOS205),PHI (+175)
2012,NBA,West,Conference Semifinals,May 1 May 20 2012,,San Antonio Spurs (1),4,,Los Angeles Clippers (5),0,,SAS2500),LAC (+1000)
2012,NBA,West,Conference Semifinals,May 1 May 21 2012,,Oklahoma City Thunder (2),4,,Los Angeles Lakers (3),1,,OKC450),LAL (+350)
2012,NBA,West,Conference Finals,May 2 Jun 6 2012,,Oklahoma City Thunder (2),4,,San Antonio Spurs (1),2,,SAS205),OKC (+175)
2012,NBA,East,Conference Finals,May 2 Jun 9 2012,,Miami Heat (2),4,,Boston Celtics (4),3,,MIA530),BOS (+400)
2012,NBA,,NBA Finals,Jun 1 Jun 21 2012,,Miami Heat (2),4,,Oklahoma City Thunder (2),1,,OKC175),MIA (+155)
2011,NBA,East,Conference First Round,Apr 1 Apr 26 2011,,Chicago Bulls (1),4,,Indiana Pacers (8),1,,CHI4000),IND (+1200)
2011,NBA,East,Conference First Round,Apr 1 Apr 27 2011,,Miami Heat (2),4,,Philadelphia 76ers (7),1,,MIA2500),PHI (+1000)
2011,NBA,East,Conference First Round,Apr 1 Apr 24 2011,,Boston Celtics (3),4,,New York Knicks (6),0,,BOS350),NYK (+250)
2011,NBA,East,Conference First Round,Apr 1 Apr 28 2011,,Atlanta Hawks (5),4,,Orlando Magic (4),2,,ORL650),ATL (+425)
2011,NBA,West,Conference First Round,Apr 1 Apr 29 2011,,Memphis Grizzlies (8),4,,San Antonio Spurs (1),2,,SAS390),MEM (+280)
2011,NBA,West,Conference First Round,Apr 1 Apr 28 2011,,Los Angeles Lakers (2),4,,New Orleans Hornets (7),2,,LAL2500),NOH (+1000)
2011,NBA,West,Conference First Round,Apr 1 Apr 28 2011,,Dallas Mavericks (3),4,,Portland Trail Blazers (6),2,,DAL200),POR (+160)
2011,NBA,West,Conference First Round,Apr 1 Apr 27 2011,,Oklahoma City Thunder (4),4,,Denver Nuggets (5),1,,OKC220),DEN (+170)
2011,NBA,East,Conference Semifinals,May  May 12 2011,,Chicago Bulls (1),4,,Atlanta Hawks (5),2,,CHI800),ATL (+550)
2011,NBA,East,Conference Semifinals,May  May 11 2011,,Miami Heat (2),4,,Boston Celtics (3),1,,MIA190),BOS (+165)
2011,NBA,West,Conference Semifinals,May  May 8 2011,,Dallas Mavericks (3),4,,Los Angeles Lakers (2),0,,LAL360),DAL (+280)
2011,NBA,West,Conference Semifinals,May  May 15 2011,,Oklahoma City Thunder (4),4,,Memphis Grizzlies (8),3,,OKC350),MEM (+275)
2011,NBA,East,Conference Finals,May 1 May 26 2011,,Miami Heat (2),4,,Chicago Bulls (1),1,,MIA190),CHI (+160)
2011,NBA,West,Conference Finals,May 1 May 25 2011,,Dallas Mavericks (3),4,,Oklahoma City Thunder (4),1,,DAL240),OKC (+200)
2011,NBA,,NBA Finals,May 3 Jun 12 2011,,Dallas Mavericks (3),4,,Miami Heat (2),2,,MIA175),DAL (+155)
2010,NBA,East,Conference First Round,Apr 1 Apr 27 2010,,Cleveland Cavaliers (1),4,,Chicago Bulls (8),1,,CLE3000),CHI (+1400)
2010,NBA,East,Conference First Round,Apr 1 Apr 26 2010,,Orlando Magic (2),4,,Charlotte Bobcats (7),0,,ORL1000),CHA (+650)
2010,NBA,East,Conference First Round,Apr 1 May 2 2010,,Atlanta Hawks (3),4,,Milwaukee Bucks (6),3,,ATL750),MIL (+550)
2010,NBA,East,Conference First Round,Apr 1 Apr 27 2010,,Boston Celtics (4),4,,Miami Heat (5),1,,BOS175),MIA (+155)
2010,NBA,West,Conference First Round,Apr 1 Apr 30 2010,,Los Angeles Lakers (1),4,,Oklahoma City Thunder (8),2,,LAL800),OKC (+600)
2010,NBA,West,Conference First Round,Apr 1 Apr 29 2010,,San Antonio Spurs (7),4,,Dallas Mavericks (2),2,,DAL150),SAS (+130)
2010,NBA,West,Conference First Round,Apr 1 Apr 29 2010,,Phoenix Suns (3),4,,Portland Trail Blazers (6),2,,PHO500),POR (+400)
2010,NBA,West,Conference First Round,Apr 1 Apr 30 2010,,Utah Jazz (5),4,,Denver Nuggets (4),2,,DEN175),UTA (+150)
2010,NBA,East,Conference Semifinals,May  May 13 2010,,Boston Celtics (4),4,,Cleveland Cavaliers (1),2,,CLE480),BOS (+380)
2010,NBA,East,Conference Semifinals,May  May 10 2010,,Orlando Magic (2),4,,Atlanta Hawks (3),0,,ORL800),ATL (+550)
2010,NBA,West,Conference Semifinals,May  May 10 2010,,Los Angeles Lakers (1),4,,Utah Jazz (5),0,,LAL420),UTA (+310)
2010,NBA,West,Conference Semifinals,May  May 9 2010,,Phoenix Suns (3),4,,San Antonio Spurs (7),0,,PHO140),SAS (+120)
2010,NBA,West,Conference Finals,May 1 May 29 2010,,Los Angeles Lakers (1),4,,Phoenix Suns (3),2,,LAL340),PHO (+270)
2010,NBA,East,Conference Finals,May 1 May 28 2010,,Boston Celtics (4),4,,Orlando Magic (2),2,,ORL260),BOS (+220)
2010,NBA,,NBA Finals,Jun  Jun 17 2010,,Los Angeles Lakers (1),4,,Boston Celtics (4),3,,LAL190),BOS (+165)
